Name,Platform,Year,Genre,Global_Sales,Critic Score,User Score
Grand Theft Auto V,PS3,2013.0,Action,21.4,96,7.8
Grand Theft Auto V,X360,2013.0,Action,16.38,96,7.8
Grand Theft Auto V,PS4,2014.0,Action,11.98,96,7.8
Grand Theft Auto V,XOne,2014.0,Action,5.08,96,7.8
Grand Theft Auto V,PC,2015.0,Action,1.08,96,7.8
Grand Theft Auto: San Andreas,PS2,2004.0,Action,20.81,95,9.0
Grand Theft Auto: San Andreas,XB,2005.0,Action,1.95,95,9.0
Grand Theft Auto: San Andreas,PC,2005.0,Action,0.98,95,9.0
Grand Theft Auto: San Andreas,X360,2008.0,Action,0.12,95,9.0
Grand Theft Auto: Vice City,PS2,2002.0,Action,16.15,95,8.7
Grand Theft Auto: Vice City,PC,2003.0,Action,0.04,95,8.7
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,14.98,95,8.5
Grand Theft Auto III,PS2,2001.0,Action,13.1,97,8.5
Grand Theft Auto III,PC,2002.0,Action,0.01,97,8.5
Super Mario Galaxy,Wii,2007.0,Platform,11.52,97,9.0
Grand Theft Auto IV,X360,2008.0,Action,11.02,98,7.5
Grand Theft Auto IV,PS3,2008.0,Action,10.57,98,7.5
Grand Theft Auto IV,PC,2008.0,Action,0.88,98,7.5
Gran Turismo,PS,1997.0,Racing,10.95,96,8.6
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,8.84,96,8.5
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,6.56,96,8.5
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,3.88,96,8.5
Halo 2,XB,2004.0,Shooter,8.49,95,8.2
Halo 2,PC,2007.0,Shooter,0.1,95,8.2
GoldenEye 007,N64,1997.0,Shooter,8.09,96,9.1
Super Mario Galaxy 2,Wii,2010.0,Platform,7.69,97,9.1
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,7.6,99,9.2
The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,4.21,99,9.2
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,7.31,96,9.1
The Legend of Zelda: Twilight Princess,GC,2006.0,Action,1.59,96,9.1
Tekken 3,PS,1998.0,Fighting,7.16,96,9.1
Uncharted 2: Among Thieves,PS3,2009.0,Action,6.73,96,8.8
Red Dead Redemption,PS3,2010.0,Action,6.6,95,8.9
Red Dead Redemption,X360,2010.0,Action,6.34,95,8.9
Halo: Combat Evolved,XB,2001.0,Shooter,6.43,97,8.6
Halo: Combat Evolved,PC,2003.0,Shooter,0.04,97,8.6
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,6.05,96,8.8
The Last of Us,PS3,2013.0,Action,5.99,95,9.2
The Last of Us,PS4,2014.0,Action,4.55,95,9.2
LittleBigPlanet,PS3,2008.0,Platform,5.92,95,6.8
LittleBigPlanet,PSP,2009.0,Platform,2.58,95,6.8
Batman: Arkham City,PS3,2011.0,Action,5.53,96,8.7
Batman: Arkham City,X360,2011.0,Action,4.76,96,8.7
Batman: Arkham City,PC,2011.0,Action,0.53,96,8.7
Batman: Arkham City,WiiU,2012.0,Action,0.38,96,8.7
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,4.68,98,7.4
Tony Hawk's Pro Skater 2,GBA,2001.0,Sports,1.18,98,7.4
Tony Hawk's Pro Skater 2,N64,2001.0,Sports,0.76,98,7.4
The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,4.61,95,9.0
The Legend of Zelda: A Link to the Past,GBA,2002.0,Action,2.7,95,9.0
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,4.6,96,9.0
The Legend of Zelda: The Wind Waker,WiiU,2013.0,Action,1.77,96,9.0
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,4.41,97,7.4
Tony Hawk's Pro Skater 3,PS,2001.0,Sports,1.67,97,7.4
Tony Hawk's Pro Skater 3,GC,2001.0,Sports,0.82,97,7.4
Tony Hawk's Pro Skater 3,XB,2002.0,Sports,0.55,97,7.4
Tony Hawk's Pro Skater 3,GBA,2002.0,Sports,0.52,97,7.4
Tony Hawk's Pro Skater 3,N64,2002.0,Sports,0.08,97,7.4
Madden NFL 2003,PS2,2002.0,Sports,4.14,95,7.5
Madden NFL 2003,XB,2002.0,Sports,0.71,95,7.5
Madden NFL 2003,GBA,2002.0,Sports,0.61,95,7.5
Madden NFL 2003,GC,2002.0,Sports,0.43,95,7.5
Half-Life,PC,1997.0,Shooter,4.12,96,9.0
Half-Life,PS2,2001.0,Shooter,0.6,96,9.0
Resident Evil 4,PS2,2005.0,Action,3.62,96,9.4
Resident Evil 4,Wii,2007.0,Action,2.26,96,9.4
Resident Evil 4,GC,2005.0,Action,1.69,96,9.4
Resident Evil 4,PC,2007.0,Action,0.03,96,9.4
Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,3.38,95,7.4
Metal Gear Solid V: The Phantom Pain,XOne,2015.0,Action,0.71,95,7.4
Metal Gear Solid V: The Phantom Pain,PS3,2015.0,Action,0.7,95,7.4
Metal Gear Solid V: The Phantom Pain,X360,2015.0,Action,0.21,95,7.4
Metal Gear Solid V: The Phantom Pain,PC,2015.0,Action,0.08,95,7.4
The Legend of Zelda: Majora's Mask,N64,2000.0,Action,3.36,95,9.2
Mass Effect 2,X360,2010.0,Role-Playing,3.11,96,8.9
Mass Effect 2,PS3,2011.0,Role-Playing,1.48,96,8.9
Mass Effect 2,PC,2010.0,Role-Playing,0.4,96,8.9
BioShock,X360,2007.0,Shooter,2.83,96,8.9
BioShock,PS3,2008.0,Shooter,1.45,96,8.9
BioShock,PC,2007.0,Shooter,0.41,96,8.9
Metroid Prime,GC,2002.0,Shooter,2.82,97,9.3
Perfect Dark,N64,2000.0,Action,2.52,97,9.0
Half-Life 2,PC,2004.0,Shooter,2.37,96,9.2
Half-Life 2,XB,2005.0,Shooter,0.61,96,9.2
Portal 2,X360,2011.0,Shooter,2.1,95,8.4
Portal 2,PS3,2011.0,Shooter,1.74,95,8.4
Portal 2,PC,2011.0,Shooter,0.76,95,8.4
The Orange Box,X360,2007.0,Shooter,1.83,96,9.2
The Orange Box,PS3,2007.0,Shooter,1.08,96,9.2
The Orange Box,PC,2007.0,Shooter,0.14,96,9.2
NFL 2K1,DC,2000.0,Sports,1.09,97,6.3
SoulCalibur,DC,1999.0,Fighting,0.34,98,8.6
World of Goo,PC,2008.0,Puzzle,0.04,94,8.8
